nazev,lon,lat
Bar U Gryfa,14.3931927,50.0907758
Café Neruda Prague,14.3975589,50.088634
Vinárna U Laury,14.4012885,50.0887335
Café Bar Arcadia,14.3988792,50.088639
Kellyxír - alchemical pub / Alchemical Lab Pub,14.39867,50.0880602
Golden Griffin Cafe,14.3933414,50.0907397
Schody Home Bar,14.4007172,50.0892711
Laundry Bar,14.3993562,50.0884157
호스테네치우코코우라,14.401957,50.088704
Browar Velkopopovicki Kozel,14.3917841,50.0881832
Vinotéka U dvou andílků,14.3688214,50.0878552
The cafe Wind,14.3527265,50.0880576
le fakap. café & bar,14.3492096,50.0851214
Abbey Granary,14.3558894,50.0840381
Bar Skřítek,14.3449626,50.0861177
Penzion a Restaurace Šimanda,14.5436347,50.0978099
Tankove Pivo,14.4972549,50.0917798
SEMPRE,14.4928809,50.0924603
Camel Club,14.4825066,50.0928283
Sportbar Na Chmelnici,14.4895479,50.0926119
Rebels,14.4802148,50.0923381
Prague Grill Park,14.4758619,50.0934807
Bar Na větvi,14.4742089,50.0917028
Kino Aero,14.4719146,50.090172
Prague Central Camp,14.4732316,50.0920777
Republic Zizkov,14.473297,50.091543
Cekarna Bar,14.4707739,50.0898888
Žižkov Beer Garden,14.4670207,50.0906866
Vozovna Žižkoff,14.4733936,50.0900938
CENTRAL Bar,14.472743,50.0910423
Biskupka,14.4702904,50.0898126
Karlínská Pivnice,14.45712,50.0926691
Shadow Cafe,14.4547006,50.0931203
Bar Tunel,14.4609047,50.0890052
Pivo Karlín,14.4575453,50.0920472
Sauna Labyrint,14.4485014,50.0898923
Hostinec U Tunelu,14.45315,50.090616
Na novým místě,14.452768,50.091129
Tomáš Trnka - Tony Bar,14.4526557,50.0914403
Café Bar Antony,14.4505084,50.0924846
Nejen Bistro,14.446926,50.091459
Ferns at Five,14.4515883,50.0934306
Hotel Jurys Inn Prague,14.439575,50.09147
Rock Club KAIN,14.4440342,50.0872953
Indian Aroma,14.4435194,50.0909356
Bistro Restaurant & Bar @ Jurys Inn Prague,14.439697,50.091507
U Českého lva,14.4391692,50.0914196
Bar Florenc,14.440313,50.089966
Art Deco Imperial Hotel,14.432864,50.089846
Wine & Dine,14.4316856,50.088227
Studio Memory,14.431518,50.091573
Gulden Draak Bierhuis,14.4311218,50.0912546
Cheers Club,14.4302899,50.0907405
Original Prague Beer Bike,14.435183,50.087526
Zinc Lounge & Bar,14.431746,50.088653
cafe Citadel,14.4296278,50.0918913
The Bourbon Bar Prague,14.4312443,50.0882041
Výtopna,14.429794,50.0892564
The Grand Mark Prague,14.431378,50.087089
black elephant,14.4225463,50.0880348
Nebe Cocktail & Music Bar Celnice,14.430332,50.088064
The Dubliner Irish Pub,14.4233374,50.0880958
James Dean Prague,14.422155,50.089534
Chapeau Rouge,14.4246868,50.0880584
Vinodivino,14.42561,50.08767
Siddharta Café,14.4258235,50.0882249
Dejavu music club Prague,14.425314,50.088147
Ungelt Jazz & Blues Club,14.4234504,50.0878971
Joe club,14.42741,50.089501
Pivnice Štupartská,14.4246673,50.08781
U Templáře,14.4250643,50.0897419
Bar Repete,14.4259835,50.0894458
Adele Restaurant & Bar,14.4282847,50.0883045
Old Town Square Hotel,14.421476,50.087037
Kogo Havelská - italian restaurant & bar,14.421964,50.085691
Hard Rock Cafe,14.4191442,50.0867312
Double Trouble,14.4205805,50.0858823
U Parlamentu,14.4166059,50.088249
U zlatého tygra,14.4180553,50.0858519
The Pub Praha 1,14.4159429,50.088003
Strip Bar Rio,14.4207946,50.0857944
LA VERANDA s.r.o.,14.4199516,50.0902555
Hany Bany,14.4162886,50.0879436
Residence U Černého Orla,14.4057279,50.087243
"Vinograf Míšeňská, wine bar",14.407817,50.0877607
Karlovy Lazne - Nightclub,14.4138002,50.0853997
Restaurace Malostranská beseda,14.4049,50.0883399
CottoCrudo,14.4143325,50.0877731
Golden Tree Prague,14.4149383,50.0858701
Klub Lávka,14.4130699,50.0855612
Prague Beer Museum,14.4139948,50.0850176
Bar Bluelight,14.4054265,50.0876798
Malostranská pivnice,14.4099655,50.0884452
Bar U Klíčů,14.4047887,50.0866684
O'Che's Bar,14.4164504,50.0854076
J.J. Murphy's Irish Pub,14.403356,50.087206
U Staré studny,14.4031234,50.0870456
U Malého Glena Jazz Club,14.4036262,50.0868321
Jo´s Bar & Restaurant,14.4032464,50.0876803
NAPA bar and gallery,14.404391,50.0867889
Bar Legend 13,14.4056289,50.0872632
U Magistra Kelly,14.3977835,50.087588
Klášterní pivovar Strahov,14.388276,50.086826
Ambix Bar,14.3993779,50.0874897
Klaster Monastery Beer Garden,14.3885255,50.0853394
Beer garden Petřín,14.3982938,50.0840031
U Kostel,14.4025417,50.0872558
Malostranská vinárna,14.4026254,50.0873225
Gambrinus,14.383487,50.0862496
Vinotéka U svatého Vincenta,14.3762202,50.0840896
Hostinec Drinopol,14.3712707,50.0836819
Majk L'Atmosphere,14.3776086,50.0846777
Valcha Restaurant,14.365911,50.083809
"66 CLUB ""Joy""",14.363979,50.0844824
Trafika u Pechů,14.3668446,50.0839254
Plzeňka,14.5451896,50.0928266
Edgar’s Prague,14.5383081,50.0941991
Bernard Pub,14.4692871,50.0885622
Polo,14.4683067,50.0891541
VendaBar,14.4690469,50.0877157
Xbowling,14.4654582,50.0852062
Bar u Čtyřky,14.4676369,50.0890916
U Nás,14.4646799,50.0881559
pallet Wine Shop,14.463507,50.087217
Jk,14.4617341,50.0870514
Briketa bar,14.4702424,50.0850638
Tennis Center Olšanská,14.460433,50.083835
Hospůdka Parukářka,14.4580951,50.0842427
Planeta Žižkov,14.4528388,50.0874819
Club Bar Divočák,14.4577195,50.0882827
Relax Centrum - Bowling,14.4548017,50.0875276
Storm Club Prague,14.454526,50.087699
Molecule foosball pub,14.4535761,50.0865866
Hospůdka Parukářka,14.4582297,50.0843953
Volvox Globator-knihkupectví,14.4500346,50.0851919
Vinný šenk U Pádivce,14.4518237,50.0841502
U Vystřelenýho oka,14.449494,50.0871572
Café Pavlač,14.448757,50.0842345
Victoria Bowling,14.4453658,50.0851513
U Pižďucha,14.4478595,50.0851455
La Pantera,14.4507528,50.0845742
Vinotéka Zizkov,14.4521311,50.0831287
Ceel,14.4502659,50.0871096
Žižkovský Camelot,14.4515634,50.0867064
Tiki Taky Bar,14.4510599,50.0861094
Belzepub,14.4443894,50.0825288
Boulder V Síti,14.4464384,50.0826228
U Kulaté báby,14.4445912,50.0862033
District 3 Bar,14.4416232,50.086240599999996
ORION Club Restaurant,14.4435427,50.0862376
Caesar Hookah Bar,14.4405512,50.0864916
Ugo,14.4440628,50.0852364
Downtown Club,14.446872,50.0862711
Hotel SOVEREIGN,14.430265,50.082061
Hoffa bar,14.4320682,50.0855773
"Vinograf Senovážné nám., Wine Bar & Restaurant",14.4316932,50.0854802
Whiskeria bar,14.4299767,50.0851367
Restaurant Sherwood,14.4315384,50.0827484
Vinárna Konírna,14.4303775,50.0870336
American Bar in the Municipal House in Prague,14.4282487,50.0876228
Two Steps Bar,14.431378,50.087089
Degustore,14.4309297,50.0860482
Hot Peppers,14.426765,50.0822867
U Medvídků,14.4188723,50.0827531
JAZZ REPUBLIC Live Music Club Prague,14.41859,50.084158
Vinotéka U Vavrysů,14.4210748,50.0844285
Friends Prague,14.4175702,50.0830744
Blues Sklep,14.416644,50.08509
Rock Café,14.418418,50.082011
Čili bar,14.4212723,50.0860815
AghaRTA Jazz Centrum,14.4220266,50.0863568
Café Lounge,14.405674,50.080674
"Alebrijes, Cocina Mexicana",14.4058479,50.082892
Hemingway Bar,14.4142812,50.0840083
Popocafepetl - Újezd,14.404326,50.083008
Pivovar & restaurace Boršov,14.414723,50.083704
Pivnice U Švejků,14.4047097,50.0818614
tempo Allegro,14.4142912,50.0838944
Pivnice U Švejků,14.4048048,50.0818949
Klub Újezd,14.4047192,50.0816138
Wine Cellar Újezd,14.404341,50.083015
La Bastille - restaurace,14.4046446,50.0822213
wine Újezd,14.4042296,50.08299
Pivnice U Černého Lva,14.4042548,50.0863205
Grilcentrum Silicon Hill,14.3956307,50.0811786
Club 001,14.3906378,50.0802344
Bar 10,14.395677,50.0795534
Ravis Wine & Tourism Ltd.,14.3395797,50.0773362
Herna Nonstop,14.3229949,50.0751386
U Gruzína,14.3190352,50.075084
Hospůdka Na Hrázi,14.2670399,50.0658873
Time Bar,14.6694826,50.0963637
Hotel Svornost,14.571443,50.088662
Hummer dakar bar,14.5631611,50.0905485
BAMBOO music pub,14.5064188,50.083232
Microbrewery Malešice,14.5076428,50.0846464
Vinárna a vinotéka AURA,14.5088544,50.0834778
VIŇAS,14.5064188,50.083232
Pivnice Oáza,14.5062789,50.0832067
Bar U Øcta,14.4973243,50.0826464
Vinotéka 3NVíno,14.4826687,50.0806516
VinVin vinný bar,14.457805,50.082707
U Mariánského obrazu,14.4494197,50.0821019
Wine Bar MaM,14.4585165,50.0798449
The Brutal Panda,14.4542602,50.0804028
Hospůdka Nad Viktorkou,14.4487109,50.0828817
"Vinárna, kavárna - U Posledního soudu",14.4525663,50.0792543
Cycling & Fitness,14.4534776,50.0801012
U Sadu,14.4493428,50.0805841
Club C13,14.4525589,50.0853356
Pivoteka Žižkoff,14.4511428,50.0847482
Bar Dobrý Časy,14.4543741,50.0803932
ANANAS BANANAS cocktail café bar,14.448019,50.084568
Vlkova 26,14.4468156,50.083374
Chartreuse bar,14.449125,50.0841
Night club Neon,14.4351643,50.0789968
The Saints,14.443153,50.078352
Kavárna Kaaba,14.436953,50.078617
iSauna Vinohrady,14.441933,50.078859
Bar Decentní Dýně,14.437175,50.078992
Restaurace Pastička,14.439587,50.078203
Strop Café,14.434625,50.0778849
Popocafepetl - Italská,14.436037,50.077573
Čekárna ČD Lounge,14.4351279,50.083718
Dandy,14.4385163,50.078711
Smokehouse Hookah Lounge&Bar,14.4365917,50.078724
Celebrity Cafe,14.440058,50.077145
Radisson Blu Alcron Hotel,14.4263256,50.0800347
Darling Cabaret,14.427833,50.0798601
be kara OK!,14.4305624,50.0769276
ALIBI. cocktail&music bar Praha,14.4293709,50.0772758
Rocky O'Reilly's,14.4259559,50.0795449
Friends Coffee House,14.423287,50.081061
Restaurace & Vinný bar Bresto,14.42495,50.078353
COMO restaurant & cocktail bar,14.4285,50.081164
Nebe Cocktail & Music Bar Václavské náměstí,14.428589,50.080131
Restaurace Jáma/The Hollow,14.425349,50.079985
Showdown Poker Club,14.429784,50.079306
Mosaic House,14.418014,50.077505
U Fleků,14.4169571,50.078841
Nebe Cocktail & Music Bar,14.4173755,50.0786501
Hooters,14.4214248,50.0787
Café Jericho Literary Cafe,14.4186312,50.0802545
U Sudu Wine Bar,14.4220447,50.0789458
Jazz Dock,14.4085002,50.0773858
q cafe,14.4174219,50.0793982
La Casa de La Havana vieja,14.418329,50.0805115
Charles Square Wine Shop - Wine Club Karlák,14.4189951,50.0771585
Al Capones,14.4158545,50.0824626
Bar Konvice,14.4175702,50.0830744
Bendy's bar,14.4174419,50.0786622
Švandův labyrint,14.4039991,50.0776348
U svatého Filipa a Jakuba,14.404864,50.076067
Casino ARBES,14.4037967,50.0759512
Punto,14.4029414,50.0770462
ART&FOOD Had,14.4063949,50.0807226
Restaurace U Dělového Kříže,14.4043385,50.0776208
At the pub Knight,14.407275,50.077934
Drake's,14.4073682,50.0792212
